name,line
Tony," I feel like you're driving me to a court-martial. This is crazy. What did I do? I feel like you're going to pull over and snuff me. What, you're not allowed to talk? Hey, Forrest!"
Soldier," We can talk, sir."
Tony," Oh, I see. So it's personal?"
Tony," Good God, you're a woman. I honestly... I couldn't have called that. I mean, I'd apologize, but isn't that what we're going for here? I thought of you as a soldier first."
Tony," Well you have, actually, excellent bone structure, there. I'm kind of having a hard time not looking at you now. Is that weird? [The Soldiers in the vehicle laugh and chuckle.] Come on, it's okay, laugh."
Soldier," Sir, I have a question to ask."
Tony," Yes, please."
Soldier, Is it true you went 12 for 12 with last year's Maxim cover models?
Tony," That is an excellent question. Yes and no. March and I had a scheduling conflict, but fortunately, the Christmas cover was twins. Anything else? [The Soldier next to him, Jimmy, raises his hand.] You're kidding me with the hand up, right?"
Tony," Yes. It's very cool. [The soldier next to him pulls his camera out and hands it to the soldier in the front seat.] I don't want to see this on your MySpace page. [The Soldier puts up a peace sign for the photo.] Please, no gang signs. No, throw it up. I'm kidding. Yeah, peace. I love peace. I'd be out of a job with peace."
Tony, What's going on?
Tony, What have we got?
Soldier," Jimmy, stay with Stark!"
Tony, Yeah.
Tony," Wait, wait, wait, wait, wait! Give me a gun!"
 He looked over to see it say," Stark Industries. He tried to get up and get away, but didn't in time. The bomb exploded and made him fly through the air a bit.]"
Tony, Whoa!
Voice over," Tony. Visionary. Genius. American patriot. Even from an early age, the son of legendary weapons developer Howard Stark quickly stole the spotlight with his brilliant and unique mind. At age four, he built his first circuit board. At age six, his first engine. And at 17, he graduated summa cum laude from MIT. Then, the passing of a titan. Howard Stark's lifelong friend and ally, Obadiah Stane, steps in to help fill the gap left by the legendary founder, until, at age 21, the prodigal son returns and is anointed the new CEO of Stark Industries. With the keys to the kingdom, Tony ushers in a new era for his father's legacy, creating smarter weapons, advanced robotics, satellite targeting. Today, Tony has changed the face of the weapons industry by ensuring freedom and protecting America and her interests around the globe."
James Rhodes," As liaison to Stark Industries, I've had the unique privilege of serving with a real patriot. He is my friend and he is my great mentor. Ladies and gentlemen, it is my honor to present this year's Apogee Award to Mr. Tony. Tony?"
Obadiah Stane," Thank you, Colonel."
James Rhodes, Thanks for the save.
Obadiah Stane," This is beautiful. Thank you. Thank you all very much. This is wonderful. Well, I'm not Tony. But if I were Tony, I would tell you how honored I feel and what a joy it is to receive this very prestigious award. Tony, you know...The best thing about Tony is also the worst thing. He's always working."
Tony, Work it! Come on! We should just stay till the morning.
James Rhodes, You are unbelievable.
Tony," Oh, no! Did they rope you into this?"
James Rhodes, Nobody roped me into anything!
Tony, I'm so sorry.
James Rhodes," But they told me that if I presented you with an award, you'd be deeply honored."
Tony," Of course I'd be deeply honored. And it's you, that's great. So, when do we do it?"
James Rhodes, It's right here. Here you go.
Tony, There it is. That was easy. I'm so sorry.
James Rhodes," Yeah, it's okay."
Tony," Wow! Would you look at that? That's something else. I don't have any of those floating around. Uh, we're gonna let it ride! Give me a hand, will you? Give me a little something-something. [hot girl blows on dice] Okay, you, too. [Tony holds the dice out to Rhodes.]"
James Rhodes, I don't blow on a man's dice.
Tony," Come on, honey bear."
James Rhodes, I don't blow on a man's dice. [Rhodes knocks Tony's hand away causing the dice to roll]
Tony, There it is. Lieutenant Colonel Rhodes rolls! And...
Dealer, Two craps. Line away.
James Rhodes, That's what happens.
Tony," Worse things have happened. I think we're gonna be fine. Color me up, will ya?"
James Rhodes, This is where I exit.
Tony, All right.
James Rhodes," Tomorrow, don't be late."
Tony," Yeah, you can count on it."
James Rhodes, I'm serious!
Tony," I know, I know. [Handing over his award to Caesar.] Render unto Caesar, that which is Caesar's. There you go."
Christine Everhart," Mr. Stark! Excuse me, Mr. Stark! Christine Everhart, Vanity Fair magazine. Can I ask you a couple of questions?"
Happy Hogan, [whispering to Tony] She's cute.
Tony, She's all right? [Turns to face Christine.] Hi.
Christine Everhart, Hi.
Tony, Yeah. Okay--
Christine Everhart, It's okay?
Tony, Go.
Christine Everhart, You've been called the da Vinci of our time. What do you say to that?
Tony, Absolutely ridiculous. I don't paint.
Christine Everhart," And what do you say to your other nickname? ""The Merchant of Death""?"
Tony, That's not bad. Let me guess. Berkeley?
Christine Everhart," Brown, actually."
Tony," Well, Ms. Brown. It's an imperfect world, but it's the only one we've got. I guarantee you, the day weapons are no longer needed to keep the peace, I'll start making bricks and beams for baby hospitals."
Christine Everhart, You rehearse that much?
Tony, Every night in front of the mirror before bedtime.
Christine Everhart, I can see that.
Tony, I'd like to show you first-hand.
Christine Everhart, All I want is a serious answer.
Tony," Okay, here's serious. My old man had a philosophy, ""Peace means having a bigger stick than the other guy."""
Christine Everhart, That's a great line coming from the guy selling the sticks.
Tony," My father helped defeat the Nazis. He worked on the Manhattan Project. A lot of people, including your professors at Brown, would call that being a hero."
Christine Everhart, And a lot of people would also call that war profiteering.
Tony," Tell me, do you plan to report on the millions we've saved by advancing medical technology or kept from starvation with our intelli-crops? All those breakthroughs, military funding, honey."
Christine Everhart, You ever lose an hour of sleep your whole life?
Tony, I'd be prepared to lose a few with you.
JARVIS, Good morning. It's 7:00 a.m. The weather in Malibu is 72 degrees with scattered clouds. The surf conditions are fair with waist-to-shoulder high lines. High tide will be at 10:52 a.m.
Christine Everhart," [Walking around Tony's mansion.] Tony? Hey, Tony? [Tries to play with the controls on the wall. It beeps at her.]"
JARVIS, You are not authorized to access this area.
Christine Everhart, Jesus.
Pepper Potts," That's JARVIS. He runs the house. I've got your clothes here. They've been dry-cleaned and pressed, and there's a car waiting for you outside that will take you anywhere you'd like to go."
Christine Everhart, You must be the famous Pepper Potts.
Pepper Potts, Indeed I am.
Christine Everhart," After all these years, Tony still has you picking up the dry-cleaning."
Pepper Potts," I do anything and everything that Mr. Stark requires, including, occasionally, taking out the trash. Will that be all?"
Tony, Give me an exploded view.
JARVIS, The compression in cylinder three appears to be low.
Tony, Log that.
Pepper Potts," [Coming in on her phone.] I'm gonna try again, right now."
Tony, Please don't turn down my music.
