name,response,prompt
Tony," I feel like you're driving me to a court-martial. This is crazy. What did I do? I feel like you're going to pull over and snuff me. What, you're not allowed to talk? Hey, Forrest!",<<NO PROMPT>>
Soldier," We can talk, sir."," I feel like you're driving me to a court-martial. This is crazy. What did I do? I feel like you're going to pull over and snuff me. What, you're not allowed to talk? Hey, Forrest!"
Tony," Oh, I see. So it's personal?"," We can talk, sir."
Tony," Good God, you're a woman. I honestly... I couldn't have called that. I mean, I'd apologize, but isn't that what we're going for here? I thought of you as a soldier first.",<<NO PROMPT>>
Tony," Well you have, actually, excellent bone structure, there. I'm kind of having a hard time not looking at you now. Is that weird?  Come on, it's okay, laugh.",<<NO PROMPT>>
Soldier," Sir, I have a question to ask."," Well you have, actually, excellent bone structure, there. I'm kind of having a hard time not looking at you now. Is that weird?  Come on, it's okay, laugh."
Tony," Yes, please."," Sir, I have a question to ask."
Soldier, Is it true you went 12 for 12 with last year's Maxim cover models?," Yes, please."
Tony," That is an excellent question. Yes and no. March and I had a scheduling conflict, but fortunately, the Christmas cover was twins. Anything else?  You're kidding me with the hand up, right?", Is it true you went 12 for 12 with last year's Maxim cover models?
Tony," Yes. It's very cool.  I don't want to see this on your MySpace page.  Please, no gang signs. No, throw it up. I'm kidding. Yeah, peace. I love peace. I'd be out of a job with peace.",<<NO PROMPT>>
Tony, What's going on?,<<NO PROMPT>>
Tony, What have we got?,<<NO PROMPT>>
Soldier," Jimmy, stay with Stark!", What have we got?
Tony, Yeah.," Jimmy, stay with Stark!"
Tony," Wait, wait, wait, wait, wait! Give me a gun!",<<NO PROMPT>>
 He looked over to see it say," Stark Industries. He tried to get up and get away, but didn't in time. The bomb exploded and made him fly through the air a bit.]"," Wait, wait, wait, wait, wait! Give me a gun!"
Tony, Whoa!," Stark Industries. He tried to get up and get away, but didn't in time. The bomb exploded and made him fly through the air a bit.]"
