name,response,prompt
Tony," I feel like you're driving me to a court-martial. This is crazy. What did I do? I feel like you're going to pull over and snuff me. What, you're not allowed to talk? Hey, Forrest!",<<NO PROMPT>>
Tony," Oh, I see. So it's personal?"," We can talk, sir."
Tony," Good God, you're a woman. I honestly... I couldn't have called that. I mean, I'd apologize, but isn't that what we're going for here? I thought of you as a soldier first.",<<NO PROMPT>>
Tony," Well you have, actually, excellent bone structure, there. I'm kind of having a hard time not looking at you now. Is that weird?  Come on, it's okay, laugh.",<<NO PROMPT>>
Tony," Yes, please."," Sir, I have a question to ask."
Tony," That is an excellent question. Yes and no. March and I had a scheduling conflict, but fortunately, the Christmas cover was twins. Anything else?  You're kidding me with the hand up, right?", Is it true you went 12 for 12 with last year's Maxim cover models?
Tony," Yes. It's very cool.  I don't want to see this on your MySpace page.  Please, no gang signs. No, throw it up. I'm kidding. Yeah, peace. I love peace. I'd be out of a job with peace.",<<NO PROMPT>>
Tony, What's going on?,<<NO PROMPT>>
Tony, What have we got?,<<NO PROMPT>>
Tony, Yeah.," Jimmy, stay with Stark!"
Tony," Wait, wait, wait, wait, wait! Give me a gun!",<<NO PROMPT>>
Tony, Whoa!," Stark Industries. He tried to get up and get away, but didn't in time. The bomb exploded and made him fly through the air a bit.]"
Tony, Work it! Come on! We should just stay till the morning.," This is beautiful. Thank you. Thank you all very much. This is wonderful. Well, I'm not Tony. But if I were Tony, I would tell you how honored I feel and what a joy it is to receive this very prestigious award. Tony, you know...The best thing about Tony is also the worst thing. He's always working."
Tony," Oh, no! Did they rope you into this?", You are unbelievable.
Tony, I'm so sorry., Nobody roped me into anything!
Tony," Of course I'd be deeply honored. And it's you, that's great. So, when do we do it?"," But they told me that if I presented you with an award, you'd be deeply honored."
Tony, There it is. That was easy. I'm so sorry., It's right here. Here you go.
Tony," Wow! Would you look at that? That's something else. I don't have any of those floating around. Uh, we're gonna let it ride! Give me a hand, will you? Give me a little something-something.  Okay, you, too. "," Yeah, it's okay."
Tony," Come on, honey bear.", I don't blow on a man's dice.
Tony, There it is. Lieutenant Colonel Rhodes rolls! And..., I don't blow on a man's dice. 
Tony," Worse things have happened. I think we're gonna be fine. Color me up, will ya?", That's what happens.
Tony, All right., This is where I exit.
Tony," Yeah, you can count on it."," Tomorrow, don't be late."
Tony," I know, I know.  Render unto Caesar, that which is Caesar's. There you go.", I'm serious!
Tony, She's all right?  Hi.,  She's cute.
Tony, Yeah. Okay--, Hi.
Tony, Go., It's okay?
Tony, Absolutely ridiculous. I don't paint., You've been called the da Vinci of our time. What do you say to that?
Tony, That's not bad. Let me guess. Berkeley?," And what do you say to your other nickname? ""The Merchant of Death""?"
Tony," Well, Ms. Brown. It's an imperfect world, but it's the only one we've got. I guarantee you, the day weapons are no longer needed to keep the peace, I'll start making bricks and beams for baby hospitals."," Brown, actually."
Tony, Every night in front of the mirror before bedtime., You rehearse that much?
Tony, I'd like to show you first-hand., I can see that.
Tony," Okay, here's serious. My old man had a philosophy, ""Peace means having a bigger stick than the other guy.""", All I want is a serious answer.
Tony," My father helped defeat the Nazis. He worked on the Manhattan Project. A lot of people, including your professors at Brown, would call that being a hero.", That's a great line coming from the guy selling the sticks.
Tony," Tell me, do you plan to report on the millions we've saved by advancing medical technology or kept from starvation with our intelli-crops? All those breakthroughs, military funding, honey.", And a lot of people would also call that war profiteering.
Tony, I'd be prepared to lose a few with you., You ever lose an hour of sleep your whole life?
Tony, Give me an exploded view.," I do anything and everything that Mr. Stark requires, including, occasionally, taking out the trash. Will that be all?"
Tony, Log that., The compression in cylinder three appears to be low.
Tony, Please don't turn down my music.,"  I'm gonna try again, right now."
Tony, How'd she take it?, I'll keep you posted.  You are supposed to be halfway around the world right now.
Tony, Why are you trying to hustle me out of here?, Like a champ.
Tony," That's funny, I thought with it being my plane and all, that it would just wait for me to get there.", Your flight was scheduled to leave an hour and a half ago.
Tony," I mean, doesn't it kind of defeat the whole purpose of having your own plane if it departs before you arrive?"," Tony, I need to speak to you about a couple things before I get you out of the door."
Tony, Is it a good representation of his spring period?, Larry called. He's got another buyer for the Jackson Pollock in the wings. Do you want it? Yes or no.
Tony, So?," Um, no. The Springs was actually the neighborhood in East Hampton where he lived and worked--"
Tony, I need it. Buy it. Store it.," --not ""spring"" like the season. I think it's a fair example. Um.. I think it's incredibly overpriced."
Tony," Is in June. Please, don't harangue me about stuff that's way, way, down...", Okay. The MIT commencement speech...
Tony, Deflect it and absorb it. Don't transmit it back to me.," Well, they're haranguing me, so I'm gonna say yes."
Tony," What are you trying to get rid of me for? What, you got plans?", I need you to sign this before you get on the plane.
Tony, I don't like it when you have plans.," As a matter of fact, I do."
Tony, It's your birthday?, I'm allowed to have plans on my birthday.
Tony, I knew that. Already?, Yes.
Tony," Well, get yourself something nice from me.", Yeah. Isn't that strange? It's the same day as last year.
Tony, And?, I already did.
Tony, Yeah.," Oh, it was very nice."
Tony," You're welcome, Miss Potts... Okay."," Very tasteful. Thank you, Mr. Stark."
Tony, You're good. I thought I lost you back there.,<<NO PROMPT>>
Tony, I got you. I got you.," You did, sir.  I had to cut across Mulholland."
Tony, What?, What's wrong with you? 
Tony, I got caught doing a piece for Vanity Fair., Three hours.
Tony, Waiting on you now. Let's go. Come on. Wheels up! Rock and roll!, For three hours. For three hours you got me standing here.
Tony," What you reading, platypus?",<<NO PROMPT>>
Tony," Come on, sour patch.", Nothing.
Tony, Don't be mad., I'm not sour.
Tony, I said I was sorry.," I told you, I'm not mad. I'm indifferent, okay?"
Tony, I told you I was sorry., You don't need to apologize to me.
Tony," Hi. I told him I was sorry, but he...", I'm your man.
Tony, I respect you.," You don't respect yourself, so I know you don't respect me."
Tony," Hey! Heat up the sake, will you? Thanks for reminding me."," I'm just your babysitter. So, when you need your diaper changed...  Thank you. Let me know and I'll get you a bottle, okay?"
Tony, You can't have sashimi without sake.," No, I'm not talking... We're not drinking. We're working right now."
Tony, It would be irresponsible not to drink. I'm just talking about a nightcap., You are constitutionally incapable of being responsible.
Tony," Yes, two, please.",<<NO PROMPT>>
Tony," Hey, you know what? I'm not like you. I'm not cut out..."," That's what I'm talking about. When I get up in the morning and I'm putting on my uniform, you know what I recognize? I see in that mirror that every person that's got this uniform on got my back!"
Tony, Can you excuse me if I'm a bit distracted here?," No, no. You don't have to be like me! But you're more than what you are."
Tony, General., No! You can't be distracted right now! Listen to me!
Tony, Thanks.," Welcome, Mr. Stark. We look forward to your weapons presentation."
Tony," Is it better to be feared or respected? I say, is it too much to ask for both? With that in mind, I humbly present the crown jewel of Stark Industries' Freedom Line. It's the first missile system to incorporate our proprietary repulsor technology. They say the best weapon is one you never have to fire. I respectfully disagree. I prefer the weapon you only have to fire once. That's how Dad did it. That's how America does it. And it's worked out pretty well so far. Find an excuse to let one of these off the chain, and I personally guarantee you the bad guys won't even want to come out of their caves.  For your consideration, the Jericho. ",<<NO PROMPT>>
Tony, I'll be throwing one of these in with every purchase of 500 million or more. To peace! ,<<NO PROMPT>>
Tony," Obie, what are you doing up?",  Tony.
Tony, It went great. Looks like it's gonna be an early Christmas., I couldn't sleep till I found out how it went. How'd it go?
Tony, Why aren't you wearing those pajamas I got you?," Hey! Way to go, my boy! I'll see you tomorrow, yeah?"
Tony," I'm sorry, this is the ""fun-vee."" The ""hum-drum-vee"" is back there."," Hey, Tony. "
Tony, See you back at base., Nice job.
Tony, What the hell did you do to me?, I wouldn't do that if I were you.
Tony, What is this?," What I did? What I did is to save your life. I removed all the shrapnel I could, but there's a lot left, and it's headed into your atrial septum. Here, want to see?  I have a souvenir. Take a look.  I've seen many wounds like that in my village. We call them the walking dead because it takes about a week for the barbs to reach the vital organs."
Tony, I don't remember.," That is an electromagnet, hooked up to a car battery, and it's keeping the shrapnel from entering your heart. Hmm?  That's right. Smile. We met once, you know, at a technical conference in Bern."
Tony, Where are we?," No, you wouldn't. If I had been that drunk, I wouldn't have been able to stand, much less give a lecture on integrated circuits."
Tony, Those are my guns. How did they get my guns?," Come on, stand up. Stand up! Just do as I do. Come on, put your hands up."
Tony, I refuse. ," Do you understand me? Do as I do.  He says, ""Welcome, Tony, the most famous mass murderer ""in the history of America.""  He is honored.  He wants you to build the missile.  The Jericho missile that you demonstrated.  This one."
Tony, I think you got a lot of my weapons., He wants to know what you think.
Tony," No, he won't. "," He says they have everything you need to build the Jericho missile. He wants you to make the list of materials.  He says for you to start working immediately, and when you're done, he will set you free."
Tony," Why should I do anything? They're going to kill me, you, either way. And if they don't, I'll probably be dead in a week.","  I'm sure they're looking for you, Stark. But they will never find you in these mountains. Look, what you just saw, that is your legacy, Stark. Your life's work, in the hands of those murderers. Is that how you want to go out? Is this the last act of defiance of the great Tony? Or are you going to do something about it?"
Tony,"  If this is going to be my work station, I want it well-lit. I want these up. I need welding gear. I don't care if it's acetylene or propane. I need a soldering station. I need helmets. I'm gonna need goggles. I would like a smelting cup. I need two sets of precision tools.  How many languages do you speak?"," Well, then, this is a very important week for you, isn't it? Hm?"
Tony, Who are these people?," A lot. But apparently, not enough for this place. They speak Arabic, Urdu, Dari, Pashto, Mongolian, Farsi, Russian."
Tony," Uh-huh.  Okay, we don't need this."," They are your loyal customers, sir. They call themselves the Ten Rings.  You know, we might be more productive if you include me in the planning process."
Tony," That's palladium, 0.15 grams. We need at least 1.6, so why don't you go break down the other 11?", What is that?
Tony," Careful. Careful, we only get one shot at this.",<<NO PROMPT>>
Tony, What do I call you?, Relax. I have steady hands. Why do you think you're still alive?
Tony, Yinsen. Nice to meet you., My name is Yinsen.
Tony, That's because it's a miniaturized arc reactor. I got a big one powering my factory at home. It should keep the shrapnel out of my heart.," Nice to meet you, too.  Whoa. That doesn't look like a Jericho missile."
Tony," If my math is right, and it always is, three gigajoules per second.", But what could it generate?
Tony, Yeah. Or something big for 15 minutes., That could run your heart for 50 lifetimes.
Tony,  This is our ticket out of here.,<<NO PROMPT>>
Tony, Flatten them out and look. , What is it?
Tony, You still haven't told me where you're from., Good. Good roll. Good roll.
Tony, Got a family?, I'm from a small town called Gulmira. It's actually a nice place.
Tony, No.," Yes, and I will see them when I leave here. And you, Stark?"
Tony, What does he want?, Open your mouth. 
Tony, What do you want? A delivery date?  I need him. Good assistant., He's building your Jericho. He's building your Jericho. 
Tony," 41 steps straight ahead. Then 16 steps, that's from the door, fork right, 33 steps, turn right."," Okay? Can you move? Okay, say it again."
Tony, Say something. Say something back to him., Yinsen! Yinsen! Stark!
Tony, Then speak Hungarian., He's speaking Hungarian. I don't...
Tony, What do you know?, Okay. I know.
Tony, How'd that work?,<<NO PROMPT>>
Tony, That's what I do.," Oh, my goodness. It worked all right."
Tony, Initialize the power sequence., Let me finish this.
Tony, Now!, Okay.
Tony, Function 11. Tell me when you see a progress bar. It should be up right now., Tell me. Tell me.
Tony, Talk to me. Tell me when you see it., Yes.
Tony," Press Control ""l"".", I have it.
Tony," ""I."" ""Enter."""," ""I."""
Tony," ""l"" and ""Enter."" Come over here and button me up.", Got it.
Tony, Every other hex bolt., Okay. All right.
Tony," Nothing pretty, just get it done. Just get it done.", They're coming!
Tony," Make sure the checkpoints are clear before you follow me out, okay?", They're coming.
Tony, Stick to the plan! Stick to the plan!  Yinsen! Yinsen!," We need more time. Hey, I'm gonna go buy you some time."
Tony, Yinsen!,<<NO PROMPT>>
Tony," Come on.  We got to go. Move for me, come on. We got a plan. We're gonna stick to it.", Watch out!  Stark.
Tony," Come on, you're gonna go see your family. Get up."," This was always the plan, Stark."
Tony, Thank you for saving me.," My family is dead. I'm going to see them now, Stark. It's okay. I want this. I want this."
Tony, My turn.  Not bad., Don't waste it. Don't waste your life.
Tony, Hey!  Hey!,<<NO PROMPT>>
Tony, Are you kidding me with this? Get rid of them.  Your eyes are red. A few tears for your long-lost boss?," Watch it, coming up here."
Tony," Yeah, vacation's over.", Tears of joy. I hate job hunting.
Tony, No.," Take us to the hospital, please, Happy."
Tony, No is a complete answer.," No? Tony, you have to go to the hospital."
Tony," I don't have to do anything. I've been in captivity for three months. There are two things I want to do. I want an American cheeseburger, and the other...", The doctor has to look at you.
Tony, ...is not what you think. I want you to call for a press conference now., That's enough of that.
Tony, Yeah., Call for a press conference?
Tony," Hogan, drive. Cheeseburger first.", What on earth for?
Tony," No, I'm fine.", Look at this! Tony. We were going to meet at the hospital.
Tony," Well, come on."," Look at you! You had to have a burger, yeah?"
Tony, There's only one left. I need it., You get me one of those?
Tony," Hey, would it be all right if everyone sat down?  Why don't you just sit down? That way you can see me, and I can... A little less formal and... "," Well, let's get this started, uh..."
Tony, Good to see you., Don't look at me. I don't know what he's up to.
Tony," I never got to say goodbye to Dad. I never got to say goodbye to my father. There's questions that I would have asked him. I would have asked him how he felt about what this company did. If he was conflicted, if he ever had doubts. Or maybe he was every inch the man we all remember from the newsreels. I saw young Americans killed by the very weapons I created to defend them and protect them. And I saw that I had become part of a system that is comfortable with zero accountability.", Good to see you.
Tony," Hey, Ben.", Mr. Stark!
Tony," I had my eyes opened.  I came to realize that I have more to offer this world than just making things that blow up. And that is why, effective immediately, I am shutting down the weapons manufacturing division of Stark International  until such a time as I can decide what the future of the company will be.",<<NO PROMPT>>
Tony," What direction it should take, one that I'm comfortable with and is consistent with the highest good for this country, as well. ", I think we're gonna be selling a lot of newspapers. 
Tony, Did I just paint a target on the back of my head?," Well, that..uh... That went well."
Tony," Uh, optimistically, 40 points.", Your head? What about my head? What do you think the over-under on the stock drop is gonna be tomorrow?
Tony, Yep., At minimum.
Tony," Obie, I just don't want a body count to be our only legacy."," Tony, we're a weapons manufacturer."
Tony, It's my name on the side of the building., That's what we do. We're iron mongers. We make weapons.
Tony, Not based on what I saw. We're not doing a good enough job. We can do better. We're gonna do something else., And what we do keeps the world from falling into chaos.
Tony, I think we should take another look into arc reactor technology., Like what? You want us to make baby bottles?
Tony, It works.," Ah, come on. The arc reactor, that's a publicity stunt! Tony, come on. We built that thing to shut the hippies up."
Tony, Maybe.," Yeah, as a science project. The arc was never cost effective. We knew that before we built it. Arc reactor technology, that's a dead end, right?"
Tony," That's what they say. Could you have a lousier poker face? Just tell me, who told you?", Huh? Am I right? We haven't had a breakthrough in that in what? Thirty years.
Tony, It's Rhodey or Pepper., Never mind who told me. Show me.
Tony," Okay, Rhodey. ", I want to see it.
Tony, Okay? It works., Okay. 
Tony," I'm sorry I didn't give you a heads-up, okay? But if I had..."," Listen to me, Tony. We're a team. Do you understand? There's nothing we can't do if we stick together, like your father and I."
Tony, That was Dad's line.," Tony. Tony, no more of this ""ready, fire, aim"" business. You understand me?"
